cpdid,seq.id,num_runs
CPDC140626,SEQ-140051,3
CPDC140626,SEQ-140053,3
CPDC140626,SEQ-140058,3
CPDC140632,SEQ-140053,2
CPDC140632,SEQ-140056,2
CPDC140641,SEQ-140053,2
CPDC140641,SEQ-140055,2
CPDC140643,SEQ-140073,2
CPDC140643,SEQ-140074,2
CPDC140646,SEQ-140053,2
CPDC140646,SEQ-140055,2
CPDC140674,SEQ-140055,2
CPDC140674,SEQ-140056,2
CPDC140697,SEQ-140056,2
CPDC140697,SEQ-140058,2
CPDC140759,SEQ-140058,2
CPDC140759,SEQ-140064,2
CPDC140761,SEQ-140058,2
CPDC140761,SEQ-140064,2
CPDC140762,SEQ-140058,2
CPDC140762,SEQ-140064,2
CPDC140765,SEQ-140058,2
CPDC140765,SEQ-140064,2
CPDC140766,SEQ-140058,3
CPDC140766,SEQ-140062,3
CPDC140766,SEQ-140065,3
CPDC140769,SEQ-140058,3
CPDC140769,SEQ-140062,3
CPDC140769,SEQ-140064,3
CPDC140775,SEQ-140058,2
CPDC140775,SEQ-140064,2
CPDC140789,SEQ-140062,2
CPDC140789,SEQ-140065,2
CPDC140797,SEQ-140062,2
CPDC140797,SEQ-150029,2
CPDC140807,SEQ-140062,2
CPDC140807,SEQ-140065,2
CPDC140818,SEQ-140065,2
CPDC140818,SEQ-140067,2
CPDC140889,SEQ-140070,3
CPDC140889,SEQ-140073,3
CPDC140889,SEQ-140074,3
CPDC140899,SEQ-140070,2
CPDC140899,SEQ-150029,2
CPDC140905,SEQ-140070,3
CPDC140905,SEQ-140073,3
CPDC140905,SEQ-140074,3
CPDC140909,SEQ-140073,2
CPDC140909,SEQ-140074,2
CPDC140912,SEQ-140073,2
CPDC140912,SEQ-140074,2
CPDC140914,SEQ-140075,2
CPDC140914,SEQ-140076,2
CPDC140915,SEQ-140073,2
CPDC140915,SEQ-140074,2
CPDC140916,SEQ-140075,2
